Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
65,A. Jamal,QAT,0,0,0,,,0
65,Osman,QAT,0,0,0,,,0
65,Grebennikov,FRA,0,0,0,,,0
65,Toniutti,FRA,0,0,0,,,0
65,Diez,FRA,0,0,0,,,0
65,Sossenheimer,GER,0,0,0,,,0
65,Zenger,GER,0,0,0,,,0
65,Zimmermann,GER,0,0,0,,,0
65,Günthör,GER,0,0,0,,,0
65,K. Russell,USA,0,0,1,0.0,0.0,1
65,Briggs,USA,0,0,0,,,0
65,E. Shoji,USA,0,0,0,,,0
65,Kessel,USA,0,0,0,,,0
65,Mendoza,MEX,0,0,0,,,0
65,Bravo,MEX,0,0,0,,,0
65,Ferran,MEX,0,0,0,,,0
65,Mendoza,MEX,0,0,0,,,0
65,Chavez,MEX,0,0,1,0.0,0.0,1
65,Baca,MEX,0,0,1,0.0,0.0,1
65,Lopez B.,MEX,0,1,0,0.0,0.0,1
65,Popiwczak,POL,0,0,0,,,0
65,Zatorski,POL,0,0,0,,,0
65,Janusz,POL,0,0,1,0.0,0.0,1
65,Karyagin,BUL,0,0,0,,,0
65,Chavdarov,BUL,0,0,0,,,0
65,D. Dimitrov,BUL,0,0,0,,,0
65,Skrimov,BUL,0,0,0,,,0
65,V. Ivanov,BUL,0,0,0,,,0
65,S.Ivanov,BUL,0,3,3,0.0,0.0,6
65,Gasparini,SLO,0,0,0,,,0
65,Štalekar,SLO,0,0,0,,,0
65,Koncilja,SLO,0,0,0,,,0
65,Klobucar,SLO,0,0,0,,,0
65,Kovačič,SLO,0,0,0,,,0
65,Z. Štern,SLO,0,0,0,,,0
65,Amabaya,CMR,0,0,0,,,0
65,Bassoko,CMR,0,0,0,,,0
65,Djam,CMR,0,0,0,,,0
65,Metin T.,TUR,0,0,0,,,0
65,Bostan,TUR,0,0,0,,,0
65,Bayraktar,TUR,0,0,0,,,0
65,Tümer,TUR,0,0,0,,,0
65,Gürbüz,TUR,0,0,0,,,0
65,Döne,TUR,0,0,0,,,0
65,Yang Y.M.,CHN,0,0,0,,,0
65,Zhang B.L.,CHN,0,0,0,,,0
65,Yang T.Y.,CHN,0,0,0,,,0
65,Liu M.,CHN,0,0,0,,,0
65,Miao R.T.,CHN,0,0,0,,,0
65,Van Der Ent,NED,0,0,0,,,0
65,Bleeker,NED,0,0,0,,,0
65,Andringa,NED,0,0,0,,,0
65,De Weijer,NED,0,0,0,,,0
65,Wiltenburg,NED,0,0,0,,,0
65,A. Fathy,EGY,0,0,0,,,0
65,M. Reda,EGY,0,0,0,,,0
65,M. Ramadan,EGY,0,0,0,,,0
65,M. Magdy,EGY,0,1,3,0.0,0.0,4
65,Sanchez Pages,ARG,0,0,0,,,0
65,Danani,ARG,0,0,0,,,0
65,Jelveh,IRI,0,0,0,,,0
65,Shahrooz,IRI,0,0,0,,,0
65,Hazrat,IRI,0,0,0,,,0
65,M. R. Moazzen,IRI,0,0,0,,,0
65,Javad,IRI,0,0,0,,,0
65,Abdelhedi Y,TUN,0,0,0,,,0
65,Bennour R.,TUN,0,0,0,,,0
65,Mbareki S.,TUN,0,0,3,0.0,0.0,3
65,Ben Taher.M,TUN,0,1,1,0.0,0.0,2
65,Bongui.A,TUN,0,0,0,,,0
65,Hmissi S,TUN,0,0,0,,,0
65,Korbosli T,TUN,0,0,0,,,0
65,Del Valle,PUR,0,0,0,,,0
65,Cabrera,PUR,0,0,0,,,0
65,Nido,PUR,0,0,0,,,0
65,Alomar,PUR,0,0,0,,,0
65,Elias,PUR,0,0,0,,,0
65,Shevchenko,UKR,0,0,0,,,0
65,Brova,UKR,0,0,0,,,0
65,Ostapenko,UKR,0,0,0,,,0
65,Fomin,UKR,0,0,0,,,0
65,Kanaiev,UKR,0,0,0,,,0
65,Synytsia,UKR,0,1,1,0.0,0.0,2
65,Katic,SRB,0,0,0,,,0
65,Pekovic,SRB,0,0,0,,,0
65,Krsmanović,SRB,0,0,0,,,0
65,Perić,SRB,0,0,0,,,0
65,Mašulović N.,SRB,0,0,1,0.0,0.0,1
65,Todorović,SRB,0,0,0,,,0
65,Recine,ITA,0,0,0,,,0
65,Balaso,ITA,0,0,0,,,0
65,Sbertoli,ITA,0,0,0,,,0
65,Bottolo,ITA,0,0,0,,,0
65,Scanferla,ITA,0,0,0,,,0
65,Mosca,ITA,0,0,0,,,0
65,Epp,CAN,0,0,2,0.0,0.0,2
65,Walsh,CAN,0,0,0,,,0
65,Eshenko,CAN,0,0,0,,,0
65,Hofer,CAN,0,0,1,0.0,0.0,1
65,Marshall,CAN,0,0,0,,,0
65,M. Elser,CAN,0,0,0,,,0
