Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
41,Tupchii,UKR,0,0,1,0.0,0.0,1
41,Kovalov,UKR,0,0,5,0.0,0.0,5
41,Kanaiev,UKR,0,1,6,0.0,0.0,7
41,Kisiliuk,UKR,0,0,0,,,0
41,Kovačević,SRB,0,0,2,0.0,0.0,2
41,Petric,SRB,0,0,0,,,0
41,Katic,SRB,0,0,1,0.0,0.0,1
41,Pekovic,SRB,0,0,1,0.0,0.0,1
41,Krsmanović,SRB,0,0,0,,,0
41,Ivović,SRB,0,0,4,0.0,0.0,4
41,Perić,SRB,0,0,0,,,0
41,Atanasijević,SRB,0,0,1,0.0,0.0,1
41,Mašulović N.,SRB,0,0,1,0.0,0.0,1
41,Podraščanin,ITA,0,0,2,0.0,0.0,2
41,Lisinac,SRB,0,0,2,0.0,0.0,2
41,Petkovic,SRB,0,0,0,,,0
41,Pinali,ITA,0,0,0,,,0
41,Recine,ITA,0,0,0,,,0
41,Bottolo,ITA,0,0,0,,,0
41,Mosca,ITA,0,0,0,,,0
41,Hoag,CAN,0,0,2,0.0,0.0,2
41,Sclater,CAN,0,0,0,,,0
41,Eshenko,CAN,0,0,0,,,0
41,Van Berkel,CAN,0,0,0,,,0
41,Hofer,CAN,0,0,0,,,0
41,Howe,CAN,0,0,0,,,0
41,M. Elser,CAN,0,0,0,,,0
