web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742813626-165","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Nedeljković","SRB","0","0","9","0.00","0.00","9"
"1742813626-166","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Berger","ITA","0","1","0","0.00","0.00","1"
"1742813626-167","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Paglialunga","ITA","0","0","0","","","0"
"1742813626-168","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Cortesia","ITA","0","2","5","0.00","0.00","7"
"1742813626-169","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Bonisoli","ITA","0","0","14","0.00","0.00","14"
"1742813626-170","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Zanotti","ITA","0","0","1","0.00","0.00","1"
"1742813626-171","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Frascio","ITA","0","0","0","","","0"
"1742813626-172","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Brienza","ITA","0","0","0","","","0"
"1742813626-173","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Zlatanov","ITA","0","0","0","","","0"
"1742813626-174","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Labarile","ITA","0","0","0","","","0"
"1742813626-175","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Tosti","ITA","0","0","0","","","0"
"1742813626-176","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Mariani","ITA","0","0","0","","","0"
"1742813626-177","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Beccaro","ITA","0","0","0","","","0"
"1742813626-178","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Zingel","ITA","0","2","8","0.00","0.00","10"
"1742813626-179","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Mujanović","SLO","0","0","2","0.00","0.00","2"
"1742813626-180","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Leitner","AUT","0","0","0","","","0"
"1742813626-181","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Malavasi","ITA","0","0","0","","","0"
"1742813626-182","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Patanè","ITA","0","0","0","","","0"
"1742813626-183","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Latella","ITA","0","0","0","","","0"
"1742813626-184","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Pertoldi","ITA","0","0","0","","","0"
"1742813626-185","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Melato","ITA","0","0","0","","","0"
