web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742812733-169","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Lucconi","ITA","0","0","0","","","0"
"1742812733-170","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Ambrose","ITA","0","0","0","","","0"
"1742812733-171","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Malavasi","ITA","0","0","0","","","0"
"1742812733-172","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Fontani","ITA","0","0","0","","","0"
"1742812733-173","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Pellegrini","ITA","0","0","0","","","0"
"1742812733-174","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Bernardis","ITA","0","0","0","","","0"
"1742812733-175","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Lostritto","ITA","0","0","0","","","0"
"1742812733-176","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Morazzini","ITA","0","0","0","","","0"
"1742812733-177","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Rossi","ITA","0","1","0","0.00","0.00","1"
"1742812733-178","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Frascio","ITA","0","0","0","","","0"
"1742812733-179","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Zanellotti","ITA","0","0","0","","","0"
"1742812733-180","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Favaro","ITA","0","0","0","","","0"
"1742812733-181","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Menazza","ITA","0","0","0","","","0"
"1742812733-182","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","De Santis","ITA","0","0","0","","","0"
"1742812733-183","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Massafeli","ITA","0","0","0","","","0"
"1742812733-184","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Gustavo Cavalcanti","POR","0","0","0","","","0"
"1742812733-185","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Penna","ITA","0","0","0","","","0"
"1742812733-186","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","90","Branco","ITA","0","0","0","","","0"
