web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742812629-103","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Basic","FRA","2","0","10","0.06","16.67","12"
"1742812629-104","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Bonisoli","ITA","2","0","3","0.06","40.00","5"
"1742812629-105","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Guzzo","ITA","2","0","9","0.06","18.18","11"
"1742812629-106","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Volpato","ITA","2","1","10","0.06","15.38","13"
"1742812629-107","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Petkovic","SRB","2","1","26","0.09","6.90","29"
"1742812629-108","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Desmet","BEL","2","2","33","0.06","5.41","37"
"1742812629-109","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Crosato","ITA","2","3","26","0.06","6.45","31"
"1742812629-110","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Asparuhov","BUL","2","0","22","0.06","8.33","24"
"1742812629-111","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Sanguinetti","ITA","2","3","6","0.06","18.18","11"
"1742812629-112","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Sala","ITA","2","2","12","0.06","12.50","16"
"1742812629-113","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Lawani","FRA","2","1","4","0.33","28.57","7"
"1742812629-114","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","49","Bartman","POL","2","1","2","0.33","40.00","5"
"1742812629-115","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Herrera","CUB","1","2","15","0.03","5.56","18"
"1742812629-116","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Rychlicki","ITA","1","1","24","0.03","3.85","26"
"1742812629-117","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Piccinelli","ITA","1","1","29","0.03","3.23","31"
"1742812629-118","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Sole","ITA","1","0","30","0.03","3.23","31"
"1742812629-119","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Di Martino","ITA","1","1","6","0.04","12.50","8"
"1742812629-120","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Pereyra L.","ARG","1","1","5","0.05","14.29","7"
"1742812629-121","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Pochini","ITA","1","0","2","0.05","33.33","3"
"1742812629-122","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Mazzone","ITA","1","2","11","0.05","7.14","14"
"1742812629-123","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Mergarejo","CUB","1","3","50","0.03","1.85","54"
"1742812629-124","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Cortesia","ITA","1","0","10","0.03","9.09","11"
"1742812629-125","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Perrin","CAN","1","0","10","0.06","9.09","11"
"1742812629-126","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Sapozhkov","RUS","1","1","29","0.03","3.23","31"
"1742812629-127","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Keita","MLI","1","2","34","0.03","2.70","37"
"1742812629-128","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Grozdanov","BUL","1","4","17","0.03","4.55","22"
