web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","70","Bottolo","ITA","37","13","24","3.36","50.00","74"
"1741279003-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","71","Karyagin","BUL","36","9","37","3.00","43.90","82"
"1741279003-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","72","Mergarejo","CUB","34","11","49","2.83","36.17","94"
"1741279003-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","72","Jorna","NED","34","23","50","2.83","31.78","107"
"1741279003-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","72","Wiltenburg","NED","34","5","20","2.83","57.63","59"
"1741279003-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","73","Abouba","BRA","33","10","19","8.25","53.23","62"
"1741279003-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","73","Louati","FRA","33","14","41","3.67","37.50","88"
"1741279003-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","73","Saadat","IRI","33","16","23","8.25","45.83","72"
"1741279003-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","74","Butryn","POL","32","16","24","8.00","44.44","72"
"1741279003-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","74","Lucas","BRA","32","7","26","3.56","49.23","65"
"1741279003-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","74","Roque","BRA","32","5","17","3.56","59.26","54"
"1741279003-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","75","Eshenko","CAN","31","3","16","2.58","62.00","50"
"1741279003-114","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","75","Otsuka","JPN","31","9","27","2.21","46.27","67"
"1741279003-115","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","76","Van Berkel","CAN","30","3","23","2.50","53.57","56"
"1741279003-116","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","76","Jendryk","USA","30","1","23","2.00","55.56","54"
"1741279003-117","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","76","Adriano","BRA","30","13","30","2.31","41.10","73"
"1741279003-118","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","76","Brand","GER","30","9","26","2.50","46.15","65"
"1741279003-119","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","76","Fornal","POL","30","9","29","4.29","44.12","68"
"1741279003-120","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","77","Muagututia","USA","28","7","23","2.55","48.28","58"
"1741279003-121","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","77","Fromm","GER","28","11","19","7.00","48.28","58"
"1741279003-122","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","78","Kłos","POL","27","1","14","3.38","64.29","42"
"1741279003-123","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","78","Hanes","USA","27","12","24","2.45","42.86","63"
"1741279003-124","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","78","Giannelli","ITA","27","6","15","2.45","56.25","48"
"1741279003-125","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","79","Dulski","POL","26","9","14","6.50","53.06","49"
"1741279003-126","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","80","Wang B.","CHN","25","9","13","2.08","53.19","47"
"1741279003-127","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","80","Martinez Franchi","ARG","25","2","38","1.92","38.46","65"
"1741279003-128","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","81","Krage","GER","23","6","12","1.92","56.10","41"
"1741279003-129","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","82","Wang D.C.","CHN","21","6","19","1.75","45.65","46"
"1741279003-130","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","82","Schott","GER","21","17","26","1.75","32.81","64"
"1741279003-131","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","82","Cooper","CAN","21","9","19","2.62","42.86","49"
"1741279003-132","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","83","Jouffroy","FRA","20","7","12","1.54","51.28","39"
"1741279003-133","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","83","Le Goff","FRA","20","3","9","4.00","62.50","32"
"1741279003-134","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","84","Kentaro","JPN","19","2","9","1.27","63.33","30"
"1741279003-135","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","85","Ramos","ARG","18","0","12","1.38","60.00","30"
"1741279003-136","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","85","Hofer","CAN","18","8","24","1.50","36.00","50"
