web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742808566-153","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Sperotto","ITA","0","0","0","","","0"
"1742808566-154","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","De Angelis","ITA","0","0","0","","","0"
"1742808566-155","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Donati","ITA","0","0","0","","","0"
"1742808566-156","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Bonami","ITA","0","0","0","","","0"
"1742808566-157","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Calligaro","ITA","0","0","0","","","0"
"1742808566-158","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Federici","ITA","0","0","0","","","0"
"1742808566-159","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Gaggini","ITA","0","0","0","","","0"
"1742808566-160","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Gollini","ITA","0","0","0","","","0"
"1742808566-161","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Rossini","ITA","0","0","0","","","0"
"1742808566-162","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Catania","ITA","0","0","0","","","0"
"1742808566-163","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Tondo","ITA","0","0","0","","","0"
"1742808566-164","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Scanferla","ITA","0","0","0","","","0"
"1742808566-165","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Pirazzoli","ITA","0","0","0","","","0"
"1742808566-166","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Goi","ITA","0","0","0","","","0"
"1742808566-167","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Peslac","ITA","0","0","0","","","0"
"1742808566-168","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Bassanello","ITA","0","0","0","","","0"
"1742808566-169","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Gottardo","ITA","0","0","0","","","0"
"1742808566-170","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Zoppellari","ITA","0","0","2","0.00","0.00","2"
