web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742809622-97","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Comparoni","ITA","4","1","7","0.18","33.33","12"
"1742809622-98","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Galassi","ITA","4","0","21","0.12","16.00","25"
"1742809622-99","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Diamantini","ITA","4","0","5","0.12","44.44","9"
"1742809622-100","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Candellaro","ITA","4","2","18","0.17","16.67","24"
"1742809622-101","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","63","Flavio","BRA","4","1","9","0.17","28.57","14"
"1742809622-102","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","64","Aguenier","FRA","3","1","3","0.12","42.86","7"
"1742809622-103","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","64","Nimir","NED","3","0","6","0.10","33.33","9"
"1742809622-104","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","64","Candeli","ITA","3","0","9","0.12","25.00","12"
"1742809622-105","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","64","Di Martino","ITA","3","1","9","0.10","23.08","13"
"1742809622-106","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","64","Maiocchi","ITA","3","1","10","0.10","21.43","14"
"1742809622-107","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Cortesia","ITA","2","0","19","0.07","9.52","21"
"1742809622-108","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Donati","ITA","2","1","26","0.07","6.90","29"
"1742809622-109","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Grozdanov","BUL","2","3","8","0.06","15.38","13"
"1742809622-110","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Beretta","ITA","2","2","19","0.06","8.70","23"
"1742809622-111","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Freimanis","LAT","2","0","4","0.07","33.33","6"
"1742809622-112","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Nishida","JPN","2","1","13","0.10","12.50","16"
"1742809622-113","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Gargiulo","ITA","2","1","9","0.08","16.67","12"
