web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","28","Semeniuk","POL","9","3","3","1.80","60.00","15"
"1741349236-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","29","Flavio","BRA","8","4","2","2.00","57.14","14"
"1741349236-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","29","Jovović","SRB","8","4","2","2.67","57.14","14"
"1741349236-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","30","Elhossiny","EGY","7","5","0","2.33","58.33","12"
"1741349236-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","30","Toniutti","FRA","7","5","2","1.17","50.00","14"
"1741349236-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","30","Podraščanin","ITA","7","4","1","2.33","58.33","12"
"1741349236-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","30","Pajenk","SLO","7","4","4","1.75","46.67","15"
"1741349236-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","30","Herr","CAN","7","12","7","2.33","26.92","26"
"1741349236-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Yamauchi","JPN","6","8","1","1.50","40.00","15"
"1741349236-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Kentaro","JPN","6","2","1","3.00","66.67","9"
"1741349236-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Fernando","BRA","6","6","5","1.50","35.29","17"
"1741349236-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Kaczmarek","POL","6","1","3","1.00","60.00","10"
"1741349236-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Hossam","EGY","6","3","2","2.00","54.55","11"
"1741349236-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Śliwka","POL","6","5","2","1.50","46.15","13"
"1741349236-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Martinez Franchi","ARG","6","6","1","2.00","46.15","13"
"1741349236-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Luburić","SRB","6","3","0","2.00","66.67","9"
"1741349236-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","31","Alan","BRA","6","3","1","3.00","60.00","10"
"1741349236-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Brehme","GER","5","3","3","1.25","45.45","11"
"1741349236-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Bieniek","POL","5","3","5","1.25","38.46","13"
"1741349236-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Łomacz","POL","5","3","3","1.25","45.45","11"
"1741349236-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Huber","POL","5","4","1","1.00","50.00","10"
"1741349236-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Jaeschke","USA","5","4","5","1.25","35.71","14"
