web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742822661-114","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Alan","BRA","0","0","0","","","0"
"1742822661-115","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Ben Cheikh M","TUN","0","0","0","","","0"
"1742822661-116","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Kobzar","ROC","0","0","2","0.00","0.00","2"
"1742822661-117","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Pankov","ROC","0","0","0","","","0"
"1742822661-118","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Pereyra L.","ARG","0","0","0","","","0"
"1742822661-119","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Bogdan","ROC","0","0","1","0.00","0.00","1"
"1742822661-120","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Poletaev","ROC","0","0","0","","","0"
"1742822661-121","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Kurkaev","ROC","0","1","0","0.00","0.00","1"
"1742822661-122","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Mendez","ARG","0","0","0","","","0"
"1742822661-123","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Ramos","ARG","0","0","0","","","0"
"1742822661-124","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Sekita","JPN","0","0","2","0.00","0.00","2"
"1742822661-125","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Fujii","JPN","0","0","0","","","0"
"1742822661-126","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Chema","VEN","0","1","0","0.00","0.00","1"
"1742822661-127","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Emerson","VEN","0","0","0","","","0"
"1742822661-128","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Maita","VEN","0","0","0","","","0"
"1742822661-129","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Shimizu","JPN","0","0","0","","","0"
"1742822661-130","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Fernando","VEN","0","2","4","0.00","0.00","6"
"1742822661-131","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Otsuka","JPN","0","0","2","0.00","0.00","2"
"1742822661-132","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Łomacz","POL","0","0","0","","","0"
"1742822661-133","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","S. Marouf","IRI","0","0","3","0.00","0.00","3"
"1742822661-134","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","A. Ghafour","IRI","0","1","1","0.00","0.00","2"
"1742822661-135","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Kazemi","IRI","0","0","0","","","0"
"1742822661-136","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Kaczmarek","POL","0","0","0","","","0"
"1742822661-137","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Masoud","IRI","0","0","1","0.00","0.00","1"
"1742822661-138","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Arman","IRI","0","0","1","0.00","0.00","1"
"1742822661-139","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Javad","IRI","0","1","0","0.00","0.00","1"
"1742822661-140","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Boyer","FRA","0","0","0","","","0"
"1742822661-141","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Patry","FRA","0","0","0","","","0"
"1742822661-142","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Ensing","USA","0","0","0","","","0"
"1742822661-143","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","K. Shoji","USA","0","0","0","","","0"
"1742822661-144","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","45","Bultor","FRA","0","0","0","","","0"
