web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741286129-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","De Cecco","ARG","0","0","0","0"
"1741286129-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Zerba","ARG","0","0","0","0"
"1741286129-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Kentaro","JPN","0","0","0","0"
"1741286129-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Tomita","JPN","0","0","0","0"
"1741286129-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Ogawa","JPN","0","0","0","0"
"1741286129-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Yamamoto","JPN","0","0","0","0"
"1741286129-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Eiro","JPN","0","0","0","0"
"1741286129-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Planinšič","SLO","0","0","0","0"
"1741286129-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Kök","SLO","0","0","0","0"
"1741286129-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Toman","SLO","0","0","0","0"
"1741286129-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Štalekar","SLO","0","0","0","0"
"1741286129-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Koncilja","SLO","0","0","0","0"
"1741286129-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Kovačič","SLO","0","0","0","0"
"1741286129-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Z. Štern","SLO","0","0","0","0"
"1741286129-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Ropret","SLO","0","0","0","0"
"1741286129-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Mujanović","SLO","0","0","0","0"
"1741286129-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Popiwczak","POL","0","0","0","0"
"1741286129-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Łomacz","POL","0","0","0","0"
"1741286129-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Zatorski","POL","0","0","0","0"
"1741286129-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Bruno","BRA","0","0","0","0"
"1741286129-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Otávio","BRA","0","0","0","0"
"1741286129-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Adriano","BRA","0","0","0","0"
"1741286129-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Fernando","BRA","0","0","0","0"
"1741286129-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Maique","BRA","0","0","0","0"
"1741286129-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Thales","BRA","0","0","0","0"
"1741286129-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Judson","BRA","0","0","0","0"
"1741286129-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Larry","JPN","0","0","0","0"
