web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741284222-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Sanguinetti","ITA","0","0","0","","","0"
"1741284222-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Mosca","ITA","0","0","0","","","0"
"1741284222-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Sanchez Pages","ARG","0","0","0","","","0"
"1741284222-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Martinez Franchi","ARG","0","0","0","","","0"
"1741284222-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Gallego","ARG","0","0","0","","","0"
"1741284222-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Palonsky","ARG","0","2","0","0.00","-100.00","2"
"1741284222-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Danani","ARG","0","0","0","","","0"
"1741284222-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Zelayeta","ARG","0","0","0","","","0"
"1741284222-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Armoa Morel","ARG","0","1","0","0.00","-100.00","1"
"1741284222-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Lima B.","ARG","0","0","0","","","0"
"1741284222-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","De Cecco","ARG","0","0","0","","","0"
"1741284222-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Vicentin","ARG","0","3","1","0.00","-75.00","4"
"1741284222-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Zerba","ARG","0","0","0","","","0"
"1741284222-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Nishida","JPN","0","2","4","0.00","-33.33","6"
"1741284222-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Otsuka","JPN","0","2","0","0.00","-100.00","2"
"1741284222-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Sekita","JPN","0","5","9","0.00","-35.71","14"
"1741284222-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Kentaro","JPN","0","1","1","0.00","-50.00","2"
"1741284222-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Tomita","JPN","0","0","0","","","0"
"1741284222-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Ogawa","JPN","0","0","0","","","0"
"1741284222-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Nishiyama","JPN","0","1","0","0.00","-100.00","1"
"1741284222-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Yamamoto","JPN","0","0","0","","","0"
"1741284222-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Eiro","JPN","0","0","1","0.00","0.00","1"
"1741284222-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Planinšič","SLO","0","3","2","0.00","-60.00","5"
"1741284222-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Kök","SLO","0","0","0","","","0"
"1741284222-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Toman","SLO","0","0","0","","","0"
"1741284222-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Štalekar","SLO","0","0","0","","","0"
"1741284222-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Koncilja","SLO","0","0","0","","","0"
"1741284222-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Kovačič","SLO","0","0","0","","","0"
"1741284222-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Z. Štern","SLO","0","1","1","0.00","-50.00","2"
"1741284222-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Ropret","SLO","0","2","2","0.00","-50.00","4"
"1741284222-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Urnaut","SLO","0","2","4","0.00","-33.33","6"
"1741284222-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Mujanović","SLO","0","0","0","","","0"
"1741284222-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Popiwczak","POL","0","0","0","","","0"
"1741284222-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Bednorz","POL","0","0","0","","","0"
"1741284222-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Łomacz","POL","0","0","0","","","0"
"1741284222-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Semeniuk","POL","0","0","0","","","0"
"1741284222-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Zatorski","POL","0","0","0","","","0"
"1741284222-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Bruno","BRA","0","1","0","0.00","-100.00","1"
"1741284222-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Otávio","BRA","0","1","1","0.00","-50.00","2"
"1741284222-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Adriano","BRA","0","0","0","","","0"
"1741284222-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Leal","BRA","0","1","0","0.00","-100.00","1"
"1741284222-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Fernando","BRA","0","0","2","0.00","0.00","2"
"1741284222-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Maique","BRA","0","0","0","","","0"
"1741284222-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Thales","BRA","0","0","0","","","0"
"1741284222-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Roque","BRA","0","1","1","0.00","-50.00","2"
"1741284222-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Alan","BRA","0","2","3","0.00","-40.00","5"
"1741284222-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Judson","BRA","0","0","0","","","0"
"1741284222-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Larry","JPN","0","0","0","","","0"
